Statistic	a	b	c	d	NrSites	Estimate_Total	Estimate_Jackknife	StdErr_Jackknife	Z_score_Jackknife
F3	Han	Chuvash	Mbuti		593124	5.3967e-2	5.3967e-2	5.0668e-4	106.51180329550319
F3	Han	Albanian	Mbuti		593124	4.9972e-2	4.9973e-2	4.9520e-4	100.91326321202445
F3	Han	Armenian	Mbuti		593124	4.9531e-2	4.9531e-2	4.7771e-4	103.68366652942314
F3	Han	Bulgarian	Mbuti		593124	5.0103e-2	5.0103e-2	4.8624e-4	103.04188532686614
F3	Han	Czech	Mbuti		593124	5.0536e-2	5.0536e-2	4.9261e-4	102.58792370749681
F3	Han	Druze	Mbuti		593124	4.8564e-2	4.8564e-2	4.6788e-4	103.79674299622445
F3	Han	English	Mbuti		593124	5.0280e-2	5.0281e-2	4.9183e-4	102.23198323949656
F3	Han	Estonian	Mbuti		593124	5.1154e-2	5.1155e-2	5.0350e-4	101.59882496016485
F3	Han	Finnish	Mbuti		593124	5.1784e-2	5.1784e-2	5.0603e-4	102.33488758899031
F3	Han	French	Mbuti		593124	5.0207e-2	5.0208e-2	4.8552e-4	103.40976592749682
F3	Han	Georgian	Mbuti		593124	4.9711e-2	4.9711e-2	4.8100e-4	103.34881140790415
F3	Han	Greek	Mbuti		593124	4.9874e-2	4.9874e-2	4.8994e-4	101.79554640756365
F3	Han	Hungarian	Mbuti		593124	5.0497e-2	5.0498e-2	4.9878e-4	101.24215699276706
F3	Han	Icelandic	Mbuti		593124	5.0680e-2	5.0680e-2	4.9729e-4	101.91303336514295
F3	Han	Italian_North	Mbuti		593124	4.9903e-2	4.9904e-2	4.8436e-4	103.03094306099203
F3	Han	Italian_South	Mbuti		592980	4.9201e-2	4.9201e-2	5.1170e-4	96.15239597674244
F3	Han	Lithuanian	Mbuti		593124	5.0896e-2	5.0896e-2	5.0638e-4	100.50984037418753
F3	Han	Maltese	Mbuti		593124	4.8751e-2	4.8751e-2	4.7500e-4	102.63442479673623
F3	Han	Mordovian	Mbuti		593124	5.1820e-2	5.1820e-2	4.8853e-4	106.07409963190884
F3	Han	Norwegian	Mbuti		593124	5.0724e-2	5.0724e-2	4.9514e-4	102.4454387098217
F3	Han	Orcadian	Mbuti		593124	5.0469e-2	5.0469e-2	4.9485e-4	101.98814656611475
F3	Han	Russian	Mbuti		593124	5.1277e-2	5.1277e-2	4.8613e-4	105.48070801791317
F3	Han	Sardinian	Mbuti		593124	4.9416e-2	4.9417e-2	4.8908e-4	101.04049389691913
F3	Han	Scottish	Mbuti		593124	5.0635e-2	5.0635e-2	5.0565e-4	100.13962104744425
F3	Han	Sicilian	Mbuti		593124	4.9194e-2	4.9194e-2	4.8157e-4	102.15353663091187
F3	Han	Spanish_North	Mbuti		593124	5.0032e-2	5.0032e-2	4.9377e-4	101.32594226555439
F3	Han	Spanish	Mbuti		593124	4.9693e-2	4.9693e-2	4.8551e-4	102.35200847948641
F3	Han	Ukrainian	Mbuti		593124	5.0731e-2	5.0731e-2	4.9506e-4	102.47529111692852
F3	Han	Finland_Levanluhta	Mbuti		303033	5.4488e-2	5.4488e-2	5.7681e-4	94.46487653920919
F3	Han	Russia_Bolshoy	Mbuti		542789	5.7273e-2	5.7273e-2	5.2875e-4	108.31739594898687
F3	Han	Russia_Chalmny_Varre	Mbuti		428215	5.4000e-2	5.4000e-2	5.6936e-4	94.84371082564112
F3	Han	Saami.DG	Mbuti		585193	5.4727e-2	5.4728e-2	5.5546e-4	98.5265149143263
